	864	657	216.000000	-74.250000	9.686612e+04	1.699426e+01	-1.408550e+00
2007	1	1	11	18
	311	53	77.750000	76.750000	9.674794e+04	1.324610e+01	1.873984e-01
	12	83	3.000000	69.250000	9.619194e+04	1.635122e+01	-4.612540e-01
	1113	93	278.250000	66.750000	9.838269e+04	1.283280e+01	2.285465e+00
	1114	93	278.500000	66.750000	9.838269e+04	1.283280e+01	2.399596e-01
	866	130	216.500000	57.500000	9.596369e+04	1.590071e+01	1.015237e+00
	1265	173	316.250000	46.750000	9.667344e+04	2.554758e+01	-5.191410e-02
	477	416	119.250000	-14.000000	9.992569e+04	1.250212e+01	6.395937e-02
	207	436	51.750000	-19.000000	9.946619e+04	2.289258e+01	-5.890732e-01
	442	533	110.500000	-43.250000	9.858794e+04	1.643725e+01	-5.032134e-02
	200	595	50.000000	-58.750000	9.492069e+04	1.813033e+01	-2.404076e-02
	1353	621	338.250000	-65.250000	9.493844e+04	1.037137e+01	1.240861e-01
2007	1	2	11	0
	320	56	80.000000	76.000000	9.696969e+04	1.275029e+01	6.246117e-01
	24	85	6.000000	68.750000	9.655444e+04	1.764372e+01	-1.028825e-01
	1122	95	280.500000	66.250000	9.847619e+04	1.280354e+01	-3.959508e-01
	1269	171	317.250000	47.250000	9.764669e+04	2.111692e+01	-3.598648e-02
	475	419	118.750000	-14.750000	9.994319e+04	1.377740e+01	5.573176e-01
	159	427	39.750000	-16.750000	1.007767e+05	7.658466e+00	1.508595e+00
	205	438	51.250000	-19.500000	9.921769e+04	2.231665e+01	-1.265997e+00
	756	527	189.000000	-41.750000	9.950094e+04	1.520372e+01	-7.660192e-02
	214	592	53.500000	-58.000000	9.516644e+04	1.859815e+01	4.203400e-01
	1355	623	338.750000	-65.750000	9.519619e+04	9.439404e+00	-1.687333e-02
	818	635	204.500000	-68.750000	9.571494e+04	1.471831e+01	2.542945e-01
2007	1	2	14	6
	356	56	89.000000	76.000000	9.734331e+04	1.131717e+01	2.498497e+00
	37	87	9.250000	68.250000	9.693231e+04	1.854358e+01	-1.777423e-01
	1133	95	283.250000	66.250000	9.855156e+04	8.836130e+00	-5.831004e-01
	102	119	25.500000	60.250000	9.776831e+04	1.217116e+01	1.278177e+01
	1282	172	320.500000	47.000000	9.820581e+04	2.088802e+01	-1.888917e-01
	473	425	118.250000	-16.250000	9.969381e+04	1.601651e+01	-2.374709e-01
	203	440	50.750000	-20.000000	9.935481e+04	2.246676e+01	2.865479e-01
	1176	476	294.000000	-29.000000	9.992831e+04	7.473749e+00	3.708654e+02
	759	529	189.750000	-42.250000	9.929431e+04	1.815141e+01	-2.474257e-01
	1022	591	255.500000	-57.750000	9.756031e+04	1.437861e+01	-2.836610e-01
	234	592	58.500000	-58.000000	9.529581e+04	1.967188e+01	5.163039e-01
	1357	625	339.250000	-66.250000	9.542006e+04	1.023131e+01	2.156700e-01
	1100	632	275.000000	-68.000000	9.756231e+04	6.674918e+00	8.065848e-01
	832	634	208.000000	-68.500000	9.560406e+04	1.317640e+01	-1.861043e-01
2007	1	2	7	12
	380	57	95.000000	75.750000	9.765056e+04	1.007258e+01	1.729388e+02
	1295	169	323.750000	47.750000	9.862456e+04	2.034316e+01	-8.854763e-02
	469	429	117.250000	-17.250000	9.962056e+04	1.337674e+01	1.929731e-01
	201	442	50.250000	-20.500000	9.916231e+04	2.273133e+01	3.454801e-01
	769	530	192.250000	-42.500000	9.928181e+04	1.912163e+01	9.063814e-02
